s1_id,target_id,match_type,s1_raw_name,target_raw_name,s1_norm_name,target_norm_name,s1_raw_addr,target_raw_addr,s1_country,target_country,country_match,failure_pattern
S1-341715761,S3-947265885,multi_match,Southern Software,सदर्न सॉफ्टवेयर,southern software,,"204, Tower 4, Vipul, Lavanya Apartment, Sec 81, Narsinghpur, Gurgaon, Haryana","20, Gurgaon, हरियाणा",india,india,True,transliteration_devanagari_erasure
S1-602029172,S3-630258153,multi_match,F+ Blockchain LLC,F+ LLC Center,f blockchain llc,f llc center,"21 Trafton Street, York, ME",,us,us,True,missing_address
S1-36168988,S3-171284620,multi_match,Great Ace Tech LLP,ग्रेट एस टेक एलएलपी,great ace tech llp,,"H. No. 17, Sector-2A Vasundhara, Ghaziabad, Uttar Pradesh","H. No. 77, Ghaziabad, UP, Sahibabad",india,india,True,transliteration_devanagari_erasure
S1-36168988,S3-276279777,multi_match,Great Ace Tech LLP,ग्रेट एस टेक एलएलपी,great ace tech llp,,"H. No. 17, Sector-2A Vasundhara, Ghaziabad, Uttar Pradesh","H. No. 77, Ghaziabad, Sahibabad, UP",india,india,True,transliteration_devanagari_erasure
S1-492496935,S3-454111581,multi_match,Bharat Services LLP,भारत सर्विसेज एलएलपी,bharat svc llp,,"Plot No 1., Mayur College, Loharwada Road, Chomu, Jaipur, Rajasthan","Plot No 1., Jaipur, RJ",india,india,True,transliteration_devanagari_erasure
S1-876797983,S3-47603703,multi_match,Silver Exports Limited,सिल्वर एक्सपोर्ट्स लिमिटेड,silver exports ltd,,"Plot No. 68, Ground Floor Sector 18, Gurgaon, Haryana","NULL, Gurgaon, Plot No. 6-8, HR",india,india,True,transliteration_devanagari_erasure
S1-542529435,S2-422011533,multi_match,First Builders Private Limited,ફર્સ્ટ બિલ્ડર્સ પ્રાઇવેટ લિમિટેડ,first builders pvt ltd,,"1, Goyagate Society R.V Desai Road, Vadodara, Gujarat","1, VADODARA, ગુજરાત",india,india,True,transliteration_devanagari_erasure
S1-889509780,S3-628025997,multi_match,Jai Enterprises Private Limited,Dr jaienterprises.com,jai ent pvt ltd,dr jaienterprises com,"7, Ottraivadai Street Puzhal, Chennai, Tamil Nadu","7, Chennai, NULL, TN",india,india,True,address_numeric_match
S1-484725602,S3-87211337,multi_match,Tovaus,Toiaus,tovaus,toiaus,"200 Merriman Street, Waterloo, IA","Merriman Street, Waterlo, Iowa",us,us,True,dba_trade_name_or_different
S1-691592700,S2-845613741,multi_match,First Infotech Private Limited,ফার্স্ট ইনফোটেক প্রাইভেট লিমিটেড,first infotech pvt ltd,,"230A, A.J.C. Bose Road Room No. 95, Kolkata, Howrah, West Bengal","230A, CALCUTTA, পশ্চিমবঙ্গ",india,india,True,transliteration_devanagari_erasure
